6 , 4415090 , 2 , 10964 , 4426056 , 4096 x 4096 , critical
6 , 6517 , 3 , 11119 , 17640 , 4096 x 4096 , compute-662-4
6 , 3319976 , 3 , 11312 , 3331291 , 4096 x 4096 , critical
6 , 6627 , 2 , 10807 , 17436 , 4096 x 4096 , compute-662-4
6 , 4001838 , 3 , 11270 , 4013111 , 4096 x 4096 , critical
6 , 5391 , 2 , 11368 , 16761 , 4096 x 4096 , compute-662-4
6 , 3836122 , 2 , 11305 , 3847430 , 4096 x 4096 , critical
6 , 6594 , 2 , 10843 , 17439 , 4096 x 4096 , compute-662-4
6 , 3984834 , 2 , 11050 , 3995886 , 4096 x 4096 , critical
8 , 6919 , 2 , 9218 , 16140 , 4096 x 4096 , compute-662-4
8 , 3831420 , 2 , 8734 , 3840156 , 4096 x 4096 , critical
8 , 6986 , 3 , 9270 , 16259 , 4096 x 4096 , compute-662-4
8 , 5983306 , 2 , 9899 , 5993208 , 4096 x 4096 , critical
8 , 7074 , 3 , 8875 , 15952 , 4096 x 4096 , compute-662-4
8 , 4373937 , 2 , 9008 , 4382947 , 4096 x 4096 , critical
8 , 6643 , 2 , 9249 , 15894 , 4096 x 4096 , compute-662-4
8 , 4977091 , 2 , 9012 , 4986105 , 4096 x 4096 , critical
8 , 5404 , 2 , 8913 , 14319 , 4096 x 4096 , compute-662-4
8 , 4952869 , 3 , 9382 , 4962254 , 4096 x 4096 , critical
